"Respondent","Platform1","Platform2","Platform3","Platform4","Platform5","Platform6","Platform7","Platform8","Platform9","Platform10","Platform11","Platform12","Platform13","Platform14","Platform15","Platform16"
51280,"AWS","Docker","Google Cloud Platform","IBM Cloud or Watson","Linux","Microsoft Azure","Slack","Windows","WordPress",NA,NA,NA,NA,NA,NA,NA
51284,"AWS","Heroku","Linux","MacOS","Slack","Windows","WordPress",NA,NA,NA,NA,NA,NA,NA,NA,NA
51294,"Linux","WordPress",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
51298,"AWS","Linux","MacOS",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
51300,"Windows",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
51301,"Android","Arduino","AWS","Docker","Linux","Microsoft Azure","Windows","WordPress",NA,NA,NA,NA,NA,NA,NA,NA
51305,"Android","Windows",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
51307,"Android","Arduino","Docker","Heroku","iOS","Linux","MacOS","Microsoft Azure","Raspberry Pi","Slack","Windows","WordPress",NA,NA,NA,NA
51322,"AWS","Docker","Linux",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
51329,"Linux",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
51333,"Docker","Linux",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
51336,"Arduino","AWS","Docker","Raspberry Pi","Slack","Windows",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
51339,"Android","Docker","Linux","Raspberry Pi","Windows",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
51341,"AWS","Docker","Google Cloud Platform","Kubernetes","Slack",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
51351,"Linux","Microsoft Azure","Windows",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
51369,"AWS","Docker","Kubernetes","Linux","Windows","WordPress",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
51375,"Android","Docker","Google Cloud Platform","Heroku","iOS","MacOS","Raspberry Pi","Slack","Windows",NA,NA,NA,NA,NA,NA,NA
51378,"Linux",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
51383,"AWS","Docker","Linux","MacOS","Microsoft Azure","Slack","Windows",NA,NA,NA,NA,NA,NA,NA,NA,NA
51387,"Docker","Linux","Windows",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
51394,"AWS","Docker","Google Cloud Platform","Linux","MacOS","Microsoft Azure","Slack",NA,NA,NA,NA,NA,NA,NA,NA,NA
51400,"Android","WordPress",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
51403,"Linux","MacOS","Windows",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
51407,"Android","Docker","Linux","Raspberry Pi","WordPress","Other(s):",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
51411,"Android","Google Cloud Platform","Slack","Windows",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
51423,"Linux",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
51426,"Linux","MacOS","Slack","Windows",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
51429,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
51435,"Docker","Linux","Slack","Windows",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
51437,"AWS","Docker","Google Cloud Platform","Linux","MacOS",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
51440,"Docker","Google Cloud Platform","Linux","Raspberry Pi","Windows",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
51449,"Docker","Google Cloud Platform","Kubernetes","Slack",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
51455,"Android","Linux","Raspberry Pi",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
51456,"Windows",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
51465,"AWS","Linux",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
51472,"Docker","Kubernetes","Linux","Raspberry Pi",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
51474,"MacOS","Microsoft Azure",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
51476,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
51479,"Linux","Microsoft Azure",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
51489,"Android","Arduino","AWS","Docker","Google Cloud Platform","Linux","MacOS","Raspberry Pi","Windows","WordPress",NA,NA,NA,NA,NA,NA
51493,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
51494,"MacOS","Windows",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
51496,"AWS","Docker","Google Cloud Platform","Kubernetes","Linux","Microsoft Azure","Windows",NA,NA,NA,NA,NA,NA,NA,NA,NA
51506,"Raspberry Pi","Windows",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
51509,"Linux","Raspberry Pi","Windows",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
51510,"Microsoft Azure","Raspberry Pi","Windows",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
51513,"Android","Docker","iOS","Kubernetes","MacOS",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
51515,"AWS","Docker","Slack","Windows",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
51538,"AWS","Docker","Linux","MacOS",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
51540,"Android","Arduino","AWS","Docker","Google Cloud Platform","IBM Cloud or Watson","iOS","Linux","MacOS","Raspberry Pi","Slack","Windows","WordPress",NA,NA,NA
51542,"Google Cloud Platform","Heroku","Linux","Raspberry Pi","Windows","Other(s):",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
51547,"Android","Kubernetes","Linux","MacOS","Raspberry Pi","Slack","Windows",NA,NA,NA,NA,NA,NA,NA,NA,NA
51560,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
51565,"AWS","Docker","IBM Cloud or Watson","Linux","Microsoft Azure","Raspberry Pi","WordPress",NA,NA,NA,NA,NA,NA,NA,NA,NA
51574,"AWS","Docker","Google Cloud Platform","Linux","MacOS","Windows","WordPress",NA,NA,NA,NA,NA,NA,NA,NA,NA
51575,"Android","Docker","iOS",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
51584,"Windows",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
51599,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
51604,"Android","Docker","Heroku","Windows",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
51610,"Linux","Raspberry Pi","Windows",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
51621,"Android","AWS","Linux","MacOS","Slack","Windows","WordPress",NA,NA,NA,NA,NA,NA,NA,NA,NA
51624,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
51649,"Linux",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
51651,"AWS","Docker","Google Cloud Platform","Kubernetes","Linux",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
51657,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
51666,"Google Cloud Platform","Heroku","Linux","Windows",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
51668,"Android","iOS","Linux","Windows","WordPress",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
51670,"AWS","Docker","IBM Cloud or Watson","MacOS",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
51671,"Android","Windows",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
51690,"Docker","Linux","Slack",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
51694,"Android","AWS","WordPress",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
51700,"AWS","Docker","Linux","Microsoft Azure",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
51706,"Microsoft Azure","Windows",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
51710,"Android","Linux","Slack","Windows",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
51717,"Android","AWS","Docker","Google Cloud Platform","Microsoft Azure",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
51731,"Android","Windows",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
51737,"Android",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
51743,"Linux",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
51749,"Windows",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
51754,"AWS","Docker","Linux","MacOS","Slack",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
51756,"Windows",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
51758,"Android","AWS","Docker","iOS","Linux","MacOS","Slack","WordPress",NA,NA,NA,NA,NA,NA,NA,NA
51762,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
51765,"Windows",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
51766,"AWS","Google Cloud Platform","Heroku",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
51770,"Android","Arduino","iOS","Linux","MacOS","Raspberry Pi",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
51774,"Android","Google Cloud Platform","iOS","MacOS","Windows",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
51778,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
51798,"Android","Arduino","Docker","Google Cloud Platform","Linux","Raspberry Pi",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
51799,"Android","Docker","Google Cloud Platform","Heroku","Microsoft Azure","Windows","WordPress",NA,NA,NA,NA,NA,NA,NA,NA,NA
51804,"Linux",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
51808,"Android","Arduino","AWS","Docker","IBM Cloud or Watson","Linux","MacOS","Raspberry Pi","Slack","Windows","WordPress",NA,NA,NA,NA,NA
51814,"Docker","Google Cloud Platform","Linux","Raspberry Pi",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
51817,"Android",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
51823,"Arduino","Windows","WordPress",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
51829,"Linux","Microsoft Azure","Slack","Windows",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
51830,"Google Cloud Platform","iOS",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
51832,"Linux","Windows",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
51833,"Windows",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
51839,"Linux",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
51850,"AWS","Docker","Linux","Windows",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
51855,"AWS","Windows","WordPress",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
51860,"Linux",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
51865,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
51867,"Android","Google Cloud Platform","iOS",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
51881,"Docker","Google Cloud Platform","Kubernetes","Linux","Windows",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
51883,"Docker","Microsoft Azure","Windows",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
51886,"Windows",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
51887,"WordPress",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
51892,"Android","Docker",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
51896,"Android","Linux","Windows","WordPress",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
51897,"Arduino","Docker","Kubernetes","Linux","Raspberry Pi","Windows",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
51899,"Google Cloud Platform","Kubernetes",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
51908,"Google Cloud Platform","Linux","Windows",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
51917,"Arduino","Heroku","Raspberry Pi",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
51918,"AWS","Docker","MacOS","Windows",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
51933,"Linux","Windows",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
51944,"AWS","Linux",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
51947,"Linux","Windows",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
51959,"Android","Docker","Linux","Slack","Windows",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
51964,"Linux","MacOS","Windows","WordPress",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
51967,"Arduino","Google Cloud Platform","Windows",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
51970,"Linux","Windows",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
51972,"Arduino","Docker","Linux","MacOS","Raspberry Pi","Slack",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
51977,"Android","Arduino","AWS","Linux","Windows",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
51985,"Linux","Raspberry Pi","Other(s):",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
51986,"AWS","Windows",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
51987,"Microsoft Azure","Other(s):",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
51995,"Android","Arduino","Linux","Raspberry Pi","Windows",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
52002,"Android","AWS","Docker","IBM Cloud or Watson","Kubernetes","Linux","MacOS","Raspberry Pi","Slack","WordPress",NA,NA,NA,NA,NA,NA
52018,"Android","Google Cloud Platform","Heroku","Linux",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
52019,"AWS","Docker","Linux","MacOS","Raspberry Pi",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
52023,"Windows",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
52031,"Linux",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
52036,"Android","Windows",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
52038,"AWS","Docker","MacOS","Slack",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
52061,"AWS",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
52063,"Linux","Windows","WordPress",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
52064,"AWS","Linux","Windows",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
52069,"Windows",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
52071,"Linux","MacOS","Raspberry Pi",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
52080,"Docker","Google Cloud Platform","Kubernetes",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
52086,"Slack","Windows",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
52089,"AWS","Docker","Windows",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
52091,"Android","Docker","Heroku","IBM Cloud or Watson","Kubernetes","Linux","Windows",NA,NA,NA,NA,NA,NA,NA,NA,NA
52093,"Google Cloud Platform","iOS","Linux","MacOS","Windows",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
52097,"Docker","IBM Cloud or Watson","Linux","Windows",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
52099,"AWS","Google Cloud Platform","Linux",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
52100,"Linux",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
52109,"AWS","IBM Cloud or Watson","Windows",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
52111,"Windows","Other(s):",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
52117,"Windows",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
52121,"Linux","Windows",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
52127,"Other(s):",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
52133,"Android","Heroku","iOS","Linux","MacOS","Microsoft Azure","Windows",NA,NA,NA,NA,NA,NA,NA,NA,NA
52138,"Linux","Windows",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
52141,"Android","Arduino","AWS","Docker","Kubernetes","Linux","Windows",NA,NA,NA,NA,NA,NA,NA,NA,NA
52149,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
52150,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
52152,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
52153,"MacOS","Windows",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
52161,"AWS","Docker","Linux","MacOS","Raspberry Pi","Slack",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
52167,"Docker","Linux","Slack",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
52172,"Docker","Linux","Windows",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
52177,"Windows",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
52179,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
52198,"AWS","Linux","Slack","Windows",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
52200,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
52218,"Arduino","AWS","Docker","Raspberry Pi",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
52251,"Docker","Google Cloud Platform","Kubernetes","Linux",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
52254,"Heroku","Windows",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
52257,"Docker","Linux","Raspberry Pi",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
52265,"AWS","WordPress",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
52268,"Raspberry Pi",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
52272,"Arduino","AWS","Linux","Raspberry Pi",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
52284,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
52289,"AWS","Linux",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
52298,"Windows",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
52306,"Android","Linux","Raspberry Pi","Windows",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
52322,"Linux",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
52323,"AWS","Docker","Heroku","Kubernetes","Linux","Slack",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
52330,"Microsoft Azure","Windows",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
52336,"AWS","Docker","Linux","MacOS","Slack","Windows",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
52343,"AWS","Linux",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
52355,"Android","Linux","Raspberry Pi","Slack","Windows","WordPress",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
52358,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
52366,"AWS","Linux","MacOS","Raspberry Pi","Slack",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
52370,"AWS","Docker","Kubernetes","Linux",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
52378,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
52388,"Windows",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
52394,"Windows",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
52407,"AWS","Docker","Kubernetes","Linux","Slack","Windows",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
52413,"AWS","Docker","Kubernetes","Linux","MacOS","Slack",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
52427,"Linux","Windows",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
52432,"AWS","Docker","Google Cloud Platform","Heroku","Linux","MacOS","Raspberry Pi","Slack","Windows",NA,NA,NA,NA,NA,NA,NA
52441,"Android","AWS","Google Cloud Platform","Windows","WordPress",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
52450,"AWS","Google Cloud Platform",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
52456,"AWS","Docker","Linux",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
52471,"WordPress",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
52484,"Android","AWS","iOS","MacOS","Microsoft Azure","Windows","WordPress",NA,NA,NA,NA,NA,NA,NA,NA,NA
52496,"Windows",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
52500,"Arduino","AWS","Linux","Microsoft Azure","Windows","WordPress",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
52525,"Android","Heroku","Linux","Microsoft Azure",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
52528,"Docker","Google Cloud Platform","Linux","MacOS","Slack",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
52534,"Docker","Linux",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
52539,"AWS","Docker","Google Cloud Platform","IBM Cloud or Watson","Linux","MacOS","Microsoft Azure","Slack","Windows","WordPress",NA,NA,NA,NA,NA,NA
52549,"Android","Docker","Google Cloud Platform","Heroku","Kubernetes","Linux","Slack","WordPress",NA,NA,NA,NA,NA,NA,NA,NA
52552,"AWS","Docker","Kubernetes","Linux","Slack",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
52557,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
52562,"Android","Docker","Linux","Microsoft Azure",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
52563,"Windows",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
52564,"Linux",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
52566,"AWS","Docker","Google Cloud Platform","Linux","Windows",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
52578,"AWS","Docker","Heroku","Linux","MacOS","Slack",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
52598,"Android","Arduino","AWS","Docker","Google Cloud Platform","Heroku","IBM Cloud or Watson","iOS","Linux","MacOS","Microsoft Azure","Raspberry Pi","Slack","Windows",NA,NA
52604,"Google Cloud Platform","Linux",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
52607,"Arduino","Docker","Linux","Raspberry Pi","Windows","WordPress",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
52613,"AWS","Microsoft Azure",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
52616,"Docker","MacOS","Slack",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
52618,"Docker","Google Cloud Platform","Kubernetes","MacOS","Raspberry Pi","Slack",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
52621,"AWS","Docker","Google Cloud Platform","Kubernetes","Linux","MacOS","Slack",NA,NA,NA,NA,NA,NA,NA,NA,NA
52631,"Raspberry Pi","Windows",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
52633,"Linux",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
52644,"AWS",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
52652,"AWS","Kubernetes","Linux","Slack",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
52659,"Android","AWS","Google Cloud Platform","iOS","MacOS","WordPress",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
52661,"Docker","Google Cloud Platform","Kubernetes","Linux","MacOS","Slack",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
52668,"Android","Linux","Windows",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
52677,"iOS","Linux","MacOS",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
52679,"Arduino","AWS","IBM Cloud or Watson","Linux","Microsoft Azure","Raspberry Pi","Slack","Windows",NA,NA,NA,NA,NA,NA,NA,NA
52681,"Android","AWS","Google Cloud Platform","Heroku","Linux","MacOS","Windows","WordPress",NA,NA,NA,NA,NA,NA,NA,NA
52691,"Android",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
52692,"Docker","Linux","Windows",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
52693,"Windows",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
52699,"Linux",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
