"Respondent","Age","Gender","Ethnicity","Country","UndergradMajor","JobSat"
46263,24,"Man","White or of European descent","United Kingdom","A natural science (ex. biology, chemistry, physics)","Very satisfied"
46272,26,"Woman","White or of European descent","United States","Computer science, computer engineering, or software engineering","Slightly satisfied"
46275,29,"Man","South Asian","Australia","Another engineering discipline (ex. civil, electrical, mechanical)","Very satisfied"
46278,60,"Man","White or of European descent","Denmark","I never declared a major","Slightly satisfied"
46286,29,"Man","Hispanic or Latino/Latina","United States","Fine arts or performing arts (ex. graphic design, music, studio art)","Very satisfied"
46288,35,"Man","White or of European descent","United States","Another engineering discipline (ex. civil, electrical, mechanical)","Slightly satisfied"
46289,34,"Man","White or of European descent","Israel",NA,NA
46292,NA,"Man","South Asian","United States","Computer science, computer engineering, or software engineering","Slightly dissatisfied"
46293,40,"Man",NA,"Finland","Computer science, computer engineering, or software engineering","Slightly satisfied"
46298,29,"Man","White or of European descent","United States","Computer science, computer engineering, or software engineering","Slightly dissatisfied"
46299,26,"Man","White or of European descent","United States","Mathematics or statistics","Neither satisfied nor dissatisfied"
46301,28,"Man","White or of European descent","Poland","Computer science, computer engineering, or software engineering","Very satisfied"
46310,28,"Woman","White or of European descent","Croatia","Mathematics or statistics","Slightly satisfied"
46312,NA,"Man","White or of European descent","Cyprus","Computer science, computer engineering, or software engineering","Very satisfied"
46318,33,"Man","South Asian","Bangladesh","Web development or web design","Slightly satisfied"
46323,29,"Man","Hispanic or Latino/Latina;White or of European descent","Chile","Another engineering discipline (ex. civil, electrical, mechanical)","Slightly satisfied"
46326,28,"Man","White or of European descent","Ireland","Mathematics or statistics","Very satisfied"
46328,24,"Man","White or of European descent","United States","Another engineering discipline (ex. civil, electrical, mechanical)","Very satisfied"
46334,32,"Woman","White or of European descent","Australia","A natural science (ex. biology, chemistry, physics)","Very satisfied"
46339,29,"Man","White or of European descent","United States","A business discipline (ex. accounting, finance, marketing)","Very satisfied"
46343,23,"Man","South Asian","United States","Computer science, computer engineering, or software engineering",NA
46348,31,"Man","Middle Eastern","United Kingdom","Computer science, computer engineering, or software engineering","Slightly satisfied"
46355,27,"Man","White or of European descent","Germany","A natural science (ex. biology, chemistry, physics)","Slightly satisfied"
46356,43,"Man","Hispanic or Latino/Latina;White or of European descent","Canada","Computer science, computer engineering, or software engineering",NA
46359,34,"Man","White or of European descent","Germany","Computer science, computer engineering, or software engineering","Slightly satisfied"
46364,28,"Man","South Asian","Indonesia","Computer science, computer engineering, or software engineering","Slightly satisfied"
46365,22,"Woman","White or of European descent","Canada","A social science (ex. anthropology, psychology, political science)","Slightly satisfied"
46367,27,"Man","White or of European descent","Canada","A natural science (ex. biology, chemistry, physics)","Slightly satisfied"
46374,27,"Man",NA,"India","Computer science, computer engineering, or software engineering","Slightly dissatisfied"
46379,30,NA,"White or of European descent","United States","A social science (ex. anthropology, psychology, political science)","Slightly satisfied"
46383,38,"Man","White or of European descent","United States",NA,"Very satisfied"
46408,36,"Man","White or of European descent","United States","A natural science (ex. biology, chemistry, physics)","Very satisfied"
46414,26,"Man",NA,"India","Computer science, computer engineering, or software engineering","Very satisfied"
46418,29,"Man",NA,"France",NA,"Neither satisfied nor dissatisfied"
46430,24,"Man","White or of European descent","Austria","Computer science, computer engineering, or software engineering",NA
46459,21,"Man",NA,"Germany",NA,"Slightly satisfied"
46465,29,"Man","White or of European descent","Russian Federation","Mathematics or statistics","Slightly satisfied"
46477,26,"Man","Middle Eastern","United States",NA,"Slightly satisfied"
46480,25,"Man","White or of European descent","Switzerland","A natural science (ex. biology, chemistry, physics)","Slightly satisfied"
46483,21,"Man",NA,"Mongolia",NA,NA
46495,35,"Man","Middle Eastern;White or of European descent","United States","Computer science, computer engineering, or software engineering",NA
46512,26,"Man","White or of European descent","Germany","Mathematics or statistics","Slightly satisfied"
46520,41,"Man","East Asian","China","Computer science, computer engineering, or software engineering","Neither satisfied nor dissatisfied"
46522,NA,"Man",NA,"Norway","Computer science, computer engineering, or software engineering","Very satisfied"
46526,29,"Man","White or of European descent","Canada","Computer science, computer engineering, or software engineering","Very satisfied"
46528,25,"Man","White or of European descent","United States","A business discipline (ex. accounting, finance, marketing)","Very satisfied"
46535,24,"Man","Middle Eastern","Germany","Computer science, computer engineering, or software engineering","Neither satisfied nor dissatisfied"
46550,32,"Man","White or of European descent","United States","Computer science, computer engineering, or software engineering","Very satisfied"
46551,30,"Man","White or of European descent","Malta","Computer science, computer engineering, or software engineering","Very satisfied"
46552,35,"Man","White or of European descent","United States","Computer science, computer engineering, or software engineering","Very satisfied"
46558,25,"Man","White or of European descent","Canada","Computer science, computer engineering, or software engineering","Very satisfied"
46568,NA,"Man",NA,"India","Computer science, computer engineering, or software engineering","Slightly satisfied"
46580,40,"Man","Black or of African descent","Nigeria",NA,"Very satisfied"
46583,27,"Man","South Asian","Thailand","Computer science, computer engineering, or software engineering","Slightly satisfied"
46589,22,"Man","Middle Eastern;White or of European descent","Turkey",NA,"Slightly satisfied"
46600,31,"Man","White or of European descent","United States","Computer science, computer engineering, or software engineering","Slightly satisfied"
46603,25,"Man","White or of European descent","Spain","Another engineering discipline (ex. civil, electrical, mechanical)","Slightly satisfied"
46604,NA,"Man","White or of European descent","Finland","Computer science, computer engineering, or software engineering","Slightly satisfied"
46619,22,"Man","White or of European descent","United States","Computer science, computer engineering, or software engineering","Very satisfied"
46620,45,"Man","White or of European descent","Ukraine","Computer science, computer engineering, or software engineering","Neither satisfied nor dissatisfied"
46621,27,"Man",NA,"Turkey","Computer science, computer engineering, or software engineering","Very dissatisfied"
46623,34,"Man","White or of European descent","Germany","A natural science (ex. biology, chemistry, physics)","Slightly dissatisfied"
46629,28,"Man","South Asian","India","Computer science, computer engineering, or software engineering","Very dissatisfied"
46631,27,"Man","White or of European descent","United States","Mathematics or statistics","Very satisfied"
46644,25,"Man","White or of European descent","United Kingdom","Computer science, computer engineering, or software engineering","Slightly satisfied"
46647,33,"Man","White or of European descent","Italy","Information systems, information technology, or system administration","Slightly satisfied"
46653,29,"Man","Middle Eastern","Iran","Computer science, computer engineering, or software engineering","Slightly dissatisfied"
46659,35,"Man","Hispanic or Latino/Latina","Taiwan","Computer science, computer engineering, or software engineering",NA
46664,32,"Man","White or of European descent","France","Computer science, computer engineering, or software engineering","Slightly satisfied"
46669,44,"Man","White or of European descent","United States","Computer science, computer engineering, or software engineering","Very dissatisfied"
46673,24,"Man","White or of European descent","United States","A social science (ex. anthropology, psychology, political science)","Slightly satisfied"
46677,NA,"Man",NA,"India","Another engineering discipline (ex. civil, electrical, mechanical)","Slightly dissatisfied"
46686,33,"Man","White or of European descent","United Kingdom","Computer science, computer engineering, or software engineering","Very satisfied"
46689,30,NA,NA,"United States","A social science (ex. anthropology, psychology, political science)","Slightly satisfied"
46692,25,"Man","Black or of African descent","Senegal","Computer science, computer engineering, or software engineering","Slightly satisfied"
46724,30,"Man","White or of European descent","Canada","A natural science (ex. biology, chemistry, physics)","Slightly dissatisfied"
46733,25,"Man","White or of European descent","United Kingdom","Web development or web design","Very satisfied"
46737,45,"Man",NA,"Australia","A natural science (ex. biology, chemistry, physics)","Slightly satisfied"
46746,32,"Man","White or of European descent","United States","Computer science, computer engineering, or software engineering","Slightly satisfied"
46749,27,"Man","White or of European descent","United Kingdom",NA,"Very satisfied"
46766,35,"Man","White or of European descent","United States","Computer science, computer engineering, or software engineering","Slightly dissatisfied"
46768,47,"Man","White or of European descent","France",NA,"Very satisfied"
46769,57,"Woman","White or of European descent","United Kingdom","Computer science, computer engineering, or software engineering","Slightly dissatisfied"
46782,53,"Woman","White or of European descent","Denmark","A humanities discipline (ex. literature, history, philosophy)","Slightly satisfied"
46787,31,"Man","White or of European descent","United Kingdom","Computer science, computer engineering, or software engineering","Very satisfied"
46796,29,"Man","White or of European descent","United States","Computer science, computer engineering, or software engineering","Slightly satisfied"
46806,31,"Man","White or of European descent","Poland","Another engineering discipline (ex. civil, electrical, mechanical)","Slightly satisfied"
46813,19,"Man","Middle Eastern;White or of European descent;Biracial","Netherlands",NA,"Very satisfied"
46814,39,"Man","White or of European descent","Germany","Computer science, computer engineering, or software engineering","Very satisfied"
46821,36,NA,"Multiracial","United States","Web development or web design","Very satisfied"
46825,NA,"Man",NA,"India",NA,NA
46832,32,"Man","White or of European descent","United States","A humanities discipline (ex. literature, history, philosophy)","Very satisfied"
46844,36,"Man","White or of European descent","United Kingdom","Computer science, computer engineering, or software engineering","Slightly satisfied"
46864,NA,"Man",NA,"Switzerland",NA,"Very dissatisfied"
46874,27,"Man","White or of European descent","Switzerland","I never declared a major","Very satisfied"
46875,27,"Woman","White or of European descent","Canada","Computer science, computer engineering, or software engineering","Slightly satisfied"
46880,59,"Man","White or of European descent","United Kingdom","Computer science, computer engineering, or software engineering","Very satisfied"
46885,25,"Man",NA,"Thailand","Computer science, computer engineering, or software engineering","Slightly satisfied"
46907,42,"Man","White or of European descent","United States","Mathematics or statistics","Very satisfied"
46912,22,"Woman","White or of European descent","Norway","Another engineering discipline (ex. civil, electrical, mechanical)","Slightly dissatisfied"
46938,40,"Man","White or of European descent","United States","A natural science (ex. biology, chemistry, physics)","Very satisfied"
46941,55,"Man","White or of European descent","Belgium",NA,NA
46967,24,"Man","East Asian","India","Mathematics or statistics","Very satisfied"
46986,41,"Man","White or of European descent","United Kingdom","Computer science, computer engineering, or software engineering","Slightly satisfied"
46997,24,"Man","White or of European descent","Germany","Computer science, computer engineering, or software engineering","Very satisfied"
47001,29,"Man","White or of European descent","United States","Fine arts or performing arts (ex. graphic design, music, studio art)","Very satisfied"
47008,30,"Man","White or of European descent","United States","A business discipline (ex. accounting, finance, marketing)","Very satisfied"
47023,43,"Man","Middle Eastern;White or of European descent","Israel","Computer science, computer engineering, or software engineering","Slightly satisfied"
47027,28,"Man",NA,"France","Computer science, computer engineering, or software engineering","Neither satisfied nor dissatisfied"
47049,53,"Man","White or of European descent","Canada","Computer science, computer engineering, or software engineering","Slightly satisfied"
47056,59,"Man","White or of European descent","United Kingdom","Computer science, computer engineering, or software engineering","Slightly satisfied"
47058,27,"Man","White or of European descent","Canada","A natural science (ex. biology, chemistry, physics)","Slightly satisfied"
47071,NA,"Man","White or of European descent","United States","Computer science, computer engineering, or software engineering","Very satisfied"
47075,34,"Woman","White or of European descent","Israel","Information systems, information technology, or system administration","Neither satisfied nor dissatisfied"
47079,26,"Man","East Asian","United States",NA,"Slightly satisfied"
47087,38,"Man","Black or of African descent;Middle Eastern;White or of European descent","Spain","Another engineering discipline (ex. civil, electrical, mechanical)","Slightly dissatisfied"
47088,30,"Man","White or of European descent","Greece","Computer science, computer engineering, or software engineering","Slightly satisfied"
47090,35,"Man",NA,"Canada","A humanities discipline (ex. literature, history, philosophy)",NA
47092,NA,"Man","South Asian","India","Another engineering discipline (ex. civil, electrical, mechanical)","Slightly satisfied"
47100,35,"Woman","White or of European descent","Malta","Information systems, information technology, or system administration","Very satisfied"
47102,44,"Man","White or of European descent","Denmark","A natural science (ex. biology, chemistry, physics)","Neither satisfied nor dissatisfied"
47105,51,"Man","White or of European descent","United Kingdom","Another engineering discipline (ex. civil, electrical, mechanical)","Slightly dissatisfied"
47111,40,"Man","South Asian","Pakistan","I never declared a major","Very satisfied"
47118,49,"Man",NA,"Spain","Computer science, computer engineering, or software engineering","Slightly dissatisfied"
47127,43,"Man","South Asian","India","Another engineering discipline (ex. civil, electrical, mechanical)",NA
47131,25,"Woman","White or of European descent","United States","A social science (ex. anthropology, psychology, political science)","Slightly satisfied"
47134,36,"Man","White or of European descent","Poland","Mathematics or statistics","Slightly satisfied"
47137,21,"Man","South Asian","Philippines","Information systems, information technology, or system administration","Slightly dissatisfied"
47144,32,"Man","White or of European descent","United States","Computer science, computer engineering, or software engineering","Slightly dissatisfied"
47150,33,"Woman","Hispanic or Latino/Latina;Biracial","Australia","A natural science (ex. biology, chemistry, physics)","Slightly dissatisfied"
47154,25,"Man","East Asian","Hong Kong (S.A.R.)","Computer science, computer engineering, or software engineering","Very satisfied"
47155,28,"Man","White or of European descent","Italy","Computer science, computer engineering, or software engineering","Slightly dissatisfied"
47165,30,"Woman","White or of European descent","Sweden","A humanities discipline (ex. literature, history, philosophy)","Slightly dissatisfied"
47167,26,"Man","White or of European descent","Belgium","Computer science, computer engineering, or software engineering","Very dissatisfied"
47178,19,"Man","White or of European descent","United States","Computer science, computer engineering, or software engineering",NA
47198,31,"Man","White or of European descent","United States","Computer science, computer engineering, or software engineering","Very satisfied"
47213,43,"Man","White or of European descent","Germany","A business discipline (ex. accounting, finance, marketing)","Very satisfied"
47218,22,"Man","White or of European descent","United Kingdom","Computer science, computer engineering, or software engineering","Very satisfied"
47222,48,"Man","White or of European descent","Norway","Information systems, information technology, or system administration","Very satisfied"
47230,27,"Man","Black or of African descent","Nigeria","Another engineering discipline (ex. civil, electrical, mechanical)","Very satisfied"
47231,23,"Man","Middle Eastern;White or of European descent","Lebanon","Computer science, computer engineering, or software engineering","Slightly satisfied"
47235,27,"Woman","White or of European descent","Denmark","A social science (ex. anthropology, psychology, political science)","Very dissatisfied"
47254,41,"Man","White or of European descent","Canada","Computer science, computer engineering, or software engineering","Neither satisfied nor dissatisfied"
47255,36,"Man","White or of European descent","United Kingdom","Computer science, computer engineering, or software engineering","Slightly satisfied"
47260,27,"Man","White or of European descent","Netherlands","Mathematics or statistics","Slightly dissatisfied"
47269,21,"Man",NA,"India","Information systems, information technology, or system administration",NA
47280,46,"Man","Middle Eastern;White or of European descent","Australia","Computer science, computer engineering, or software engineering","Slightly satisfied"
47301,30,"Man","White or of European descent","Poland","Computer science, computer engineering, or software engineering","Very satisfied"
47302,27,"Man","Hispanic or Latino/Latina","United States","Computer science, computer engineering, or software engineering","Very satisfied"
47308,23,"Man",NA,"India","Computer science, computer engineering, or software engineering","Slightly satisfied"
47313,35,"Man","White or of European descent","United States",NA,"Slightly satisfied"
47317,32,"Man",NA,"India","Computer science, computer engineering, or software engineering","Slightly dissatisfied"
47322,50,"Man","White or of European descent","United States","Computer science, computer engineering, or software engineering","Very satisfied"
47326,31,"Man","White or of European descent","Greece","A natural science (ex. biology, chemistry, physics)","Slightly satisfied"
47330,29,"Woman","White or of European descent","Switzerland","Computer science, computer engineering, or software engineering","Slightly satisfied"
47331,23,"Man","Multiracial","Brazil","Computer science, computer engineering, or software engineering",NA
47334,25,"Man","White or of European descent","Brazil","Computer science, computer engineering, or software engineering","Very satisfied"
47339,31,"Man","White or of European descent","Netherlands","Computer science, computer engineering, or software engineering","Slightly satisfied"
47340,39,"Man","White or of European descent","United States","Web development or web design","Slightly dissatisfied"
47345,26,"Man","Middle Eastern;White or of European descent","United Kingdom","A natural science (ex. biology, chemistry, physics)","Slightly satisfied"
47349,32,"Man","Hispanic or Latino/Latina","Mexico","Computer science, computer engineering, or software engineering","Very dissatisfied"
47362,27,"Man","White or of European descent","United States","A social science (ex. anthropology, psychology, political science)","Slightly satisfied"
47380,NA,"Man","Native American, Pacific Islander, or Indigenous Australian;South Asian;White or of European descent;Multiracial","Thailand","Web development or web design","Slightly satisfied"
47386,24,"Man","White or of European descent","Russian Federation","Mathematics or statistics","Slightly dissatisfied"
47388,38,"Man",NA,"India","Computer science, computer engineering, or software engineering","Very satisfied"
47394,NA,"Man",NA,"United States","Computer science, computer engineering, or software engineering","Slightly dissatisfied"
47397,23,"Woman","White or of European descent","United Kingdom","Computer science, computer engineering, or software engineering","Slightly satisfied"
47408,NA,"Man",NA,"Thailand","Computer science, computer engineering, or software engineering","Very dissatisfied"
47413,36,"Man","Black or of African descent;Middle Eastern;Multiracial","Morocco","Computer science, computer engineering, or software engineering","Very dissatisfied"
47417,22,"Man","White or of European descent","United States","Computer science, computer engineering, or software engineering","Neither satisfied nor dissatisfied"
47424,27,"Man","White or of European descent","Netherlands","A natural science (ex. biology, chemistry, physics)","Slightly satisfied"
47425,22,"Man","White or of European descent","Brazil","Information systems, information technology, or system administration","Slightly dissatisfied"
47433,NA,"Man",NA,"Italy","Mathematics or statistics","Very dissatisfied"
47434,NA,"Man",NA,"Germany","Computer science, computer engineering, or software engineering","Slightly dissatisfied"
47442,26,"Man","White or of European descent","Greece","Computer science, computer engineering, or software engineering","Very satisfied"
47462,NA,"Woman","White or of European descent","Israel","A natural science (ex. biology, chemistry, physics)",NA
47464,22,"Man","White or of European descent","Canada","Computer science, computer engineering, or software engineering","Very satisfied"
47465,22,"Man","South Asian","India","Web development or web design",NA
47470,40,"Man","White or of European descent","Russian Federation","A natural science (ex. biology, chemistry, physics)","Neither satisfied nor dissatisfied"
47472,27,"Woman","Hispanic or Latino/Latina","Mexico","Computer science, computer engineering, or software engineering","Slightly satisfied"
47481,49,"Man","White or of European descent","Germany","Computer science, computer engineering, or software engineering","Very satisfied"
47484,35,"Man","White or of European descent","Australia","Mathematics or statistics","Very satisfied"
47497,NA,"Man","South Asian","India","Computer science, computer engineering, or software engineering","Slightly satisfied"
47501,NA,"Man","South Asian","India","Computer science, computer engineering, or software engineering",NA
47503,35,"Man","East Asian;Native American, Pacific Islander, or Indigenous Australian","Philippines","Mathematics or statistics","Neither satisfied nor dissatisfied"
47504,20,"Man","White or of European descent","Republic of Moldova","Computer science, computer engineering, or software engineering","Neither satisfied nor dissatisfied"
47518,24,"Man","White or of European descent","United Kingdom","Computer science, computer engineering, or software engineering","Neither satisfied nor dissatisfied"
47535,22,"Man","White or of European descent","United Kingdom","Computer science, computer engineering, or software engineering","Very dissatisfied"
47537,24,"Man","Middle Eastern","Syrian Arab Republic","Computer science, computer engineering, or software engineering","Very dissatisfied"
47546,25,"Man","White or of European descent","United Kingdom","Computer science, computer engineering, or software engineering","Slightly dissatisfied"
47547,25,"Woman","White or of European descent","Sweden","Mathematics or statistics","Very satisfied"
47549,29,"Man","Hispanic or Latino/Latina","Spain","Computer science, computer engineering, or software engineering","Very satisfied"
47558,39,"Man","Hispanic or Latino/Latina","United States","Mathematics or statistics","Very satisfied"
47559,30,"Man","White or of European descent","Switzerland","Mathematics or statistics","Slightly satisfied"
47560,23,"Man","South Asian","India","Computer science, computer engineering, or software engineering",NA
47564,31,"Man","White or of European descent","Denmark","Web development or web design","Slightly satisfied"
47570,20,"Man","South Asian","India",NA,NA
47590,NA,"Man","White or of European descent","Switzerland","Computer science, computer engineering, or software engineering","Neither satisfied nor dissatisfied"
47597,26,"Man","White or of European descent","France","A natural science (ex. biology, chemistry, physics)","Slightly satisfied"
47598,27,"Man","White or of European descent","France","Computer science, computer engineering, or software engineering","Slightly satisfied"
47615,61,"Man","East Asian;White or of European descent","United States","Computer science, computer engineering, or software engineering","Neither satisfied nor dissatisfied"
47619,36,"Man","White or of European descent","Russian Federation","A health science (ex. nursing, pharmacy, radiology)","Very satisfied"
47620,30,"Man",NA,"India","Computer science, computer engineering, or software engineering","Slightly dissatisfied"
47624,29,"Man","South Asian","India","Computer science, computer engineering, or software engineering","Slightly satisfied"
47626,NA,NA,NA,"United States","Computer science, computer engineering, or software engineering","Very satisfied"
47645,48,"Man","White or of European descent","United States","Fine arts or performing arts (ex. graphic design, music, studio art)","Very satisfied"
47654,NA,"Man","White or of European descent","Sweden","Computer science, computer engineering, or software engineering",NA
47687,27,"Man","White or of European descent","United States","Information systems, information technology, or system administration","Slightly dissatisfied"
47689,23,"Man","Hispanic or Latino/Latina;White or of European descent","United States","Computer science, computer engineering, or software engineering","Very satisfied"
47690,51,"Man","White or of European descent","United States","Another engineering discipline (ex. civil, electrical, mechanical)","Slightly dissatisfied"
47693,26,"Man","White or of European descent","United States","A business discipline (ex. accounting, finance, marketing)","Slightly dissatisfied"
47695,35,"Woman","White or of European descent","United States","Mathematics or statistics","Very satisfied"
47696,57,"Man","White or of European descent","Canada","Computer science, computer engineering, or software engineering","Slightly satisfied"
47699,25,"Man","Black or of African descent;Hispanic or Latino/Latina","Brazil","Computer science, computer engineering, or software engineering","Slightly satisfied"
47700,48,"Man","White or of European descent","Bulgaria","Another engineering discipline (ex. civil, electrical, mechanical)","Slightly satisfied"
47717,43,"Man","White or of European descent","Poland","Information systems, information technology, or system administration",NA
47721,27,"Man",NA,"France","Computer science, computer engineering, or software engineering","Slightly satisfied"
47729,26,"Man","South Asian","Pakistan","Computer science, computer engineering, or software engineering","Slightly satisfied"
47730,30,"Man","White or of European descent","Russian Federation","Computer science, computer engineering, or software engineering","Very satisfied"
47762,30,"Man","White or of European descent","United States","Information systems, information technology, or system administration","Slightly satisfied"
47787,28,"Man",NA,"United Kingdom","Computer science, computer engineering, or software engineering","Very dissatisfied"
47790,NA,NA,NA,"China","Computer science, computer engineering, or software engineering",NA
47798,47,"Man","White or of European descent","United States","Another engineering discipline (ex. civil, electrical, mechanical)","Very satisfied"
47810,24,"Man","White or of European descent","Germany","Mathematics or statistics","Very satisfied"
47813,29,"Man","White or of European descent","United States",NA,"Slightly satisfied"
47816,24,"Man","White or of European descent","Germany","Computer science, computer engineering, or software engineering",NA
47817,21,"Man","White or of European descent","France","Another engineering discipline (ex. civil, electrical, mechanical)",NA
47832,37,"Man","White or of European descent","United States","Computer science, computer engineering, or software engineering","Slightly satisfied"
47835,25,"Man","White or of European descent","Germany","Computer science, computer engineering, or software engineering","Very dissatisfied"
47838,42,"Man","White or of European descent","United States","Another engineering discipline (ex. civil, electrical, mechanical)","Very dissatisfied"
47841,26,"Man",NA,"Viet Nam","Computer science, computer engineering, or software engineering","Slightly satisfied"
47846,39,"Man","White or of European descent","Ireland","A business discipline (ex. accounting, finance, marketing)","Slightly dissatisfied"
47848,NA,NA,NA,"Argentina",NA,"Slightly satisfied"
47855,25,"Man","White or of European descent","Netherlands","A natural science (ex. biology, chemistry, physics)","Slightly satisfied"
47856,20,"Man","White or of European descent","United States",NA,NA
47865,43,"Man","White or of European descent","United States","A natural science (ex. biology, chemistry, physics)","Very satisfied"
47869,33,"Man","White or of European descent","Poland","A humanities discipline (ex. literature, history, philosophy)","Slightly satisfied"
47875,22,"Man","White or of European descent","Germany","Computer science, computer engineering, or software engineering","Very satisfied"
47889,21,"Man","East Asian;South Asian","Philippines","Computer science, computer engineering, or software engineering","Slightly satisfied"
47890,44,"Man","White or of European descent","New Zealand","Information systems, information technology, or system administration","Neither satisfied nor dissatisfied"
47893,43,"Woman","White or of European descent","United States",NA,"Very satisfied"
47899,35,"Man","White or of European descent","United States","Computer science, computer engineering, or software engineering","Very satisfied"
47901,41,"Man","White or of European descent","Chile","Information systems, information technology, or system administration","Neither satisfied nor dissatisfied"
47906,29,"Man","White or of European descent","United States","A social science (ex. anthropology, psychology, political science)","Very satisfied"
47911,24,"Man","White or of European descent","United States","Computer science, computer engineering, or software engineering","Slightly satisfied"
47922,28,"Woman","White or of European descent","Russian Federation","Mathematics or statistics","Slightly satisfied"
47923,20,"Man","White or of European descent","Australia",NA,"Very satisfied"
47938,36,"Man","White or of European descent","United Kingdom","A natural science (ex. biology, chemistry, physics)","Very satisfied"
47939,24,"Man","White or of European descent","United Kingdom","Computer science, computer engineering, or software engineering","Very satisfied"
47944,36,"Woman","Native American, Pacific Islander, or Indigenous Australian;White or of European descent","United States",NA,NA
47948,23,"Man","White or of European descent","United States","Computer science, computer engineering, or software engineering","Slightly satisfied"
47952,19,"Man","Middle Eastern","Egypt",NA,"Slightly satisfied"
47958,24,"Man","White or of European descent","Sweden","Computer science, computer engineering, or software engineering",NA
47968,39,"Man","White or of European descent","United States","Computer science, computer engineering, or software engineering","Very satisfied"
47978,NA,"Man","White or of European descent","France","Computer science, computer engineering, or software engineering","Neither satisfied nor dissatisfied"
47997,NA,"Man","South Asian","Philippines","Computer science, computer engineering, or software engineering","Slightly satisfied"
48013,26,"Man","South Asian","United States","Computer science, computer engineering, or software engineering","Neither satisfied nor dissatisfied"
48015,32,"Man","South Asian","Bangladesh",NA,"Slightly satisfied"
48023,36,"Man","White or of European descent","United States","A natural science (ex. biology, chemistry, physics)","Very satisfied"
48052,36,"Man","White or of European descent","Germany","Information systems, information technology, or system administration","Very satisfied"
48053,33,"Man","South Asian","India","Computer science, computer engineering, or software engineering","Neither satisfied nor dissatisfied"
48056,25,"Man","White or of European descent","United States","Computer science, computer engineering, or software engineering","Slightly satisfied"
48057,38,"Man","White or of European descent","Germany","Computer science, computer engineering, or software engineering","Very satisfied"
48060,28,"Man","White or of European descent","South Africa","A business discipline (ex. accounting, finance, marketing)",NA
48073,42,"Man",NA,"United States","Computer science, computer engineering, or software engineering","Slightly satisfied"
48103,NA,"Man","White or of European descent","Germany","Computer science, computer engineering, or software engineering","Slightly satisfied"
48130,27,"Man","South Asian","India","Another engineering discipline (ex. civil, electrical, mechanical)","Slightly dissatisfied"
48135,28,"Man","White or of European descent","Netherlands","A natural science (ex. biology, chemistry, physics)","Very satisfied"
48140,31,"Man","White or of European descent","United States","Computer science, computer engineering, or software engineering","Very satisfied"
48142,31,"Man","Hispanic or Latino/Latina","Paraguay","Information systems, information technology, or system administration","Very dissatisfied"
48145,28,"Man","White or of European descent","United States","Computer science, computer engineering, or software engineering","Neither satisfied nor dissatisfied"
48161,32,"Man","White or of European descent","Lithuania","A natural science (ex. biology, chemistry, physics)",NA
48162,21,"Man","East Asian;South Asian","Cambodia","Computer science, computer engineering, or software engineering","Very satisfied"
48168,30,"Man","White or of European descent","France","Computer science, computer engineering, or software engineering","Slightly dissatisfied"
48169,21,"Man","White or of European descent","Bulgaria","Computer science, computer engineering, or software engineering","Slightly satisfied"
48178,32,"Man","White or of European descent","United States","A natural science (ex. biology, chemistry, physics)","Slightly satisfied"
48188,24,"Man","East Asian;South Asian","Indonesia","Computer science, computer engineering, or software engineering","Slightly satisfied"
48193,29,"Man",NA,"Germany",NA,"Very satisfied"
48200,27,"Man","East Asian","Malaysia","Computer science, computer engineering, or software engineering","Slightly dissatisfied"
48202,21,"Man","Hispanic or Latino/Latina","Dominican Republic","Mathematics or statistics","Slightly satisfied"
48221,53,"Man",NA,"Spain",NA,"Very satisfied"
48225,25,"Man",NA,"Iran","Computer science, computer engineering, or software engineering",NA
48250,28,"Man","South Asian","India","Computer science, computer engineering, or software engineering","Slightly satisfied"
48253,25,"Man","White or of European descent","United States","Computer science, computer engineering, or software engineering","Slightly satisfied"
48255,42,"Man","White or of European descent","United States","Information systems, information technology, or system administration","Very satisfied"
48257,23,"Man","White or of European descent","Germany","Computer science, computer engineering, or software engineering","Neither satisfied nor dissatisfied"
48258,NA,"Man","White or of European descent","United Kingdom","Web development or web design","Very satisfied"
48259,48,"Man","White or of European descent","Portugal","Computer science, computer engineering, or software engineering",NA
48276,39,"Man","White or of European descent","Australia","A natural science (ex. biology, chemistry, physics)","Slightly dissatisfied"
48281,22,"Woman",NA,"France","A business discipline (ex. accounting, finance, marketing)",NA
48282,61,"Man","White or of European descent","United States","Another engineering discipline (ex. civil, electrical, mechanical)","Very dissatisfied"
48289,36,"Man","White or of European descent","Canada","Computer science, computer engineering, or software engineering","Very satisfied"
48303,39,"Man","Biracial","United Kingdom","Computer science, computer engineering, or software engineering","Very satisfied"
48304,23,"Man","Hispanic or Latino/Latina","Guatemala","Mathematics or statistics","Very satisfied"
48311,29,"Man","White or of European descent","Poland","Another engineering discipline (ex. civil, electrical, mechanical)","Very satisfied"
48335,40,"Man","White or of European descent","United States","Computer science, computer engineering, or software engineering","Very satisfied"
48339,NA,"Woman;Man",NA,"South Korea",NA,NA
48346,NA,"Man","White or of European descent","United States","Another engineering discipline (ex. civil, electrical, mechanical)","Very dissatisfied"
48354,27,"Man","White or of European descent","United States","Another engineering discipline (ex. civil, electrical, mechanical)","Very satisfied"
48358,24,"Man",NA,"India",NA,"Slightly satisfied"
48360,31,"Man","White or of European descent","Croatia","Computer science, computer engineering, or software engineering","Very satisfied"
48361,23,"Man","South Asian","South Africa","Mathematics or statistics","Very satisfied"
